"Team" "Year" "Wins" "TotalPts" "Pts_G" "ScrmPlays" "TotalYards" "Yds_P" "First" "PassFirst" "RushFirst" "ThirdMd" "ThirdAtt" "ThirdPct" "RZMd" "RZAtt" "RZPct" "PassAtt" "PassComp" "PassYds" "PassTD" "PassPct" "PassYds_Att" "PassYds_Comp" "PassInt" "IntPct" "Sacks" "SackYds" "SackPct" "QBRating" "RushAtt" "RushYds" "RushTD" "RushAvg" "TFL" "TFLPct" "Pen" "PenYds" "RatioRush_Pass" "RatioRushTD_PassTD" "OppTotalPts" "OppPts_G" "OppScrmPlays" "OppTotalYards" "OppYds_P" "OppFirst" "OppThirdMd" "OppThirdAtt" "OppThirdPct" "OppRZMd" "OppRZAtt" "OppRZPct" "OppSacks" "OppSackPct" "OppRushYds" "OppRushAvg" "OppTFL" "OppTFLPct" "OppPen" "OppPenYds"
"ArizonaCardinals" 2012 5 250 15.6 1018 4209 4.1 246 168 58 58 230 25.2 16 40 40 608 337 3005 11 55.4 4.9 8.9 21 0.0345394736842105 58 378 8.7 60.51 352 1204 10 3.4 94 26.7 102 857 0.578947368421053 0.909090909090909 357 22.3 1041 5405 5.2 288 73 222 32.9 20 45 44.4 38 7.1 2192 4.3 69 13.6 100 810
"AtlantaFalcons" 2012 13 419 26.2 1021 5906 5.8 342 246 70 92 204 45.1 37 63 58.7 615 422 4509 32 68.6 7.3 10.7 14 0.0227642276422764 28 210 4.4 97.67 378 1397 12 3.7 69 18.3 55 415 0.614634146341463 0.375 299 18.7 991 5849 5.9 298 81 200 40.5 19 42 45.2 29 5 1971 4.8 70 17 83 641
"BaltimoreRavens" 2012 10 398 24.9 1042 5640 5.4 314 182 98 80 217 36.9 28 49 57.1 560 334 3739 22 59.6 6.7 11.2 11 0.0196428571428571 38 257 6.4 84.52 444 1901 17 4.3 72 16.2 121 1127 0.792857142857143 0.772727272727273 344 21.5 1086 5615 5.2 326 83 232 35.8 23 53 43.4 37 6.2 1965 4 80 16.3 107 929
"BuffaloBills" 2012 6 344 21.5 983 5486 5.6 301 176 103 77 198 38.9 24 48 50 511 309 3269 24 60.5 6.4 10.6 17 0.0332681017612524 30 161 5.5 80.92 442 2217 12 5 66 14.9 104 871 0.864970645792564 0.5 435 27.2 1042 5806 5.6 349 92 209 44 38 55 69.1 36 6.3 2333 5 72 15.3 80 693
"CarolinaPanthers" 2012 7 357 22.3 988 5771 5.8 328 171 123 88 204 43.1 27 46 58.7 490 284 3683 19 58 7.5 13 12 0.0244897959183673 36 244 6.8 84.42 462 2088 22 4.5 84 18.2 98 835 0.942857142857143 1.15789473684211 363 22.7 1010 5329 5.3 325 73 202 36.1 27 50 54 39 6.6 1761 4.2 63 15.1 86 711
"ChicagoBears" 2012 10 375 23.4 999 4969 5 292 163 99 80 219 36.5 23 46 50 485 287 2999 21 59.2 6.2 10.4 16 0.0329896907216495 44 299 8.3 77.85 470 1970 11 4.2 76 16.2 102 811 0.969072164948454 0.523809523809524 277 17.3 1021 5050 4.9 286 78 220 35.5 21 41 51.2 41 6.5 1627 4.2 79 20.4 78 704
"CincinnatiBengals" 2012 10 391 24.4 1016 5323 5.2 292 173 95 74 217 34.1 31 57 54.4 540 335 3578 28 62 6.6 10.7 16 0.0296296296296296 46 229 7.8 86.33 430 1745 11 4.1 56 13 99 857 0.796296296296296 0.392857142857143 320 20 1034 5115 4.9 307 79 219 36.1 21 41 51.2 51 8.3 1715 4.1 85 20.1 90 779
"ClevelandBrowns" 2012 5 302 18.9 998 5028 5 279 185 71 67 218 30.7 17 39 43.6 566 328 3435 16 58 6.1 10.5 18 0.0318021201413428 36 233 6 71.83 396 1593 12 4 68 17.2 113 1005 0.699646643109541 0.75 368 23 1095 5821 5.3 345 85 223 38.1 30 53 56.6 38 6 1898 4.2 59 12.9 120 1008
"DallasCowboys" 2012 8 376 23.5 1049 5994 5.7 338 237 76 93 212 43.9 25 49 51 658 434 4729 29 66 7.2 10.9 19 0.0288753799392097 36 263 5.2 89.65 355 1265 8 3.6 71 20 117 853 0.53951367781155 0.275862068965517 400 25 986 5687 5.8 317 81 202 40.1 30 55 54.5 34 6.2 2003 4.5 59 13.4 89 726
"DenverBroncos" 2012 13 481 30.1 1090 6366 5.8 380 232 112 96 213 45.1 39 66 59.1 588 402 4534 37 68.4 7.7 11.3 11 0.0187074829931973 21 137 3.4 104.37 481 1832 12 3.8 64 13.3 100 805 0.818027210884354 0.324324324324324 289 18.1 1015 4652 4.6 287 66 216 30.6 24 41 58.5 52 8.5 1458 3.6 83 20.5 123 951
